names,,,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD,SilverBow,Cascade,YellowStone,Missoula,LewisAndClark,Gallatin,Flathead,PowderRiver,Carbon,Philips,Hill,Ravalli,Lake,Roosevelt,BEAVERHEAD,Valley,Toole,BIG.HORN,Blaine,Madison,Pondera,Richland,Powell,Rosebud,Teton,Treasure,Sheridan,Sanders,Glacier,Fallon,SweetGrass,Mccone,Broadwater,Meagher,Liberty,Park,Garfield,Jefferson,Wibeaux,Mineral,Lincoln,CMHD
licence,,,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57,1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,20,21,22,24,25,26,27,28,29,31,33,34,35,38,39,40,41,43,47,48,49,50,51,52,54,56,57
revised,,,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD,SB,CS,YE,MS,LC,GA,FL,PR,CA,PH,HI,RA,LA,RO,BE,VA,TO,BH,BL,MA,PO,RI,PW,RS,TE,TR,SH,SA,GL,FA,SG,MC,BR,ME,LI,PA,GF,JE,WI,MI,LN,CMHD
row,year,flu week,SB rate,CS rate,YE rate,MS rate,LC rate,GA rate,FL rate,PR rate,CA rate,PH rate,HI rate,RA rate,LA rate,RO rate,BE rate,VA rate,TO rate,BH rate,BL rate,MA rate,PO rate,RI rate,PW rate,RS rate,TE rate,TR rate,SH rate,SA rate,GL rate,FA rate,SG rate,MC rate,BR rate,ME rate,LI rate,PA rate,GF rate,JE rate,WI rate,MI rate,LN rate,CMHD rate,SB rate,CS count,YE count,MS count,LC count,GA count,FL count,PR count,CA count,PH count,HI count,RA count,LA count,RO count,BE count,VA count,TO count,BH count,BL count,MA count,PO count,RI count,PW count,RS count,TE count,TR count,SH count,SA count,GL count,FA count,SG count,MC count,BR count,ME count,LI count,PA count,GF count,JE count,WI count,MI count,LN count,CMHD count,SB pop,CS pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop,YE pop
1,1,1,0.000438417,0.000012271,0.000020222,0,0.000723669,0.000089283,0,0.001150086,0,0,0.001610406,0.000024806,0.000347391,0.000383032,0,0,0,0,0,0,0.000324781,0,0,0.000324289,0,0,0,0,0.000223614,0,0,0,0,0,0,0,0,0,0,0,0,0.000036304,15,1,3,0,46,8,0,2,0,0,26,1,10,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
2,1,2,0.000818378,0.000024543,0,0.000173624,0.000802328,0.000100443,0.000044027,0,0,0,0.001610406,0,0.000451608,0.000383032,0.000648438,0,0,0,0,0,0,0,0,0.000864771,0,0,0,0,0.000447227,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,19,51,9,4,0,0,0,26,0,13,4,6,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
3,1,3,0.000847606,0.000024543,0.000006741,0.001060019,0.001588925,0.00033481,0.000088054,0,0,0,0.001548467,0.000024806,0.000312652,0.000287274,0.000216146,0,0,0,0,0,0,0,0.000142613,0.000108096,0,0,0,0,0.000670841,0,0,0,0,0,0,0.000064115,0,0,0,0,0,0,29,2,1,116,101,30,8,0,0,0,25,1,9,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
4,1,4,0.000730695,0.000159527,0,0.000201038,0.000786596,0.000502215,0.000121075,0,0,0.000235073,0.001548467,0.000198447,0.000277913,0.001053337,0.000648438,0,0,0,0,0.000259841,0,0,0,0.000324289,0,0,0.000296912,0.000087765,0.000149076,0,0,0,0,0,0.000852152,0,0,0,0,0,0,0.000508259,25,13,0,22,50,45,11,0,0,1,25,8,8,11,6,0,0,0,0,2,0,0,0,3,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,14,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
5,1,5,0,0.000110442,0,0.000118795,0.00220247,0.000703101,0.000484299,0,0,0,0.001982038,0.000396894,0.00076426,0.000957579,0.003998703,0,0,0,0,0,0,0,0,0.000216193,0.000658762,0,0,0,0.000149076,0,0,0.002292264,0,0.000532481,0.001278228,0.000064115,0,0,0,0,0,0.000217825,0,9,0,13,140,63,44,0,0,0,32,16,22,10,37,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,4,0,1,3,1,0,0,0,0,0,6,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
6,1,6,0.000029228,0,0.000026962,0,0.002784551,0.004497617,0.00089155,0.001150086,0,0,0.003902137,0,0.001667477,0.00047879,0.006268237,0,0.000187161,0,0,0.00519683,0,0.00010247,0,0.000432386,0.000494071,0,0,0.001053186,0,0,0.007462687,0,0,0.002129925,0.001278228,0.00025646,0.000838926,0,0,0,0.000507717,0.000508259,1,0,4,0,177,403,81,2,0,0,63,0,48,5,58,0,1,0,0,40,0,1,0,4,3,0,0,12,0,0,27,0,0,4,3,4,1,0,0,0,10,14,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
7,1,7,0.000496873,0.000220883,0.000175254,0,0.013309211,0.004709664,0.001408869,0.000575043,0,0,0.006441623,0.001041848,0.00194539,0.000766063,0.007997406,0.000542226,0.003743215,0,0.000153775,0.006236196,0.002760637,0.003483964,0,0.003134796,0.001646904,0,0.001781473,0.003159558,0,0,0.011885019,0.003438395,0,0.004259851,0,0.00326986,0,0,0,0.000236798,0.00116775,0.001234344,17,18,26,0,846,422,128,1,0,0,104,42,56,8,74,4,20,0,1,48,17,34,0,29,10,0,6,36,0,0,43,6,0,8,0,51,0,0,0,1,23,34,34214,81491,148356,109432,63565,89603,90853,1739,10062,4254,16145,40313,28786,10443,9253,7377,5343,12912,6503,7697,6158,9759,7012,9251,6072,718,3368,11394,13416,2889,3618,1745,5637,1878,2347,15597,1192,11406,1008,4223,19696,27545
